x y
2.197 0.2283
1.506 0.4262
1.3856 0.0795
0.7482 0.4753
9.069 0.4187
5.8252 0.4424
3.9906 0.9603
4.5355 0.7266
5.224 0.3878
7.0598 0.1114
2.5496 0.5769
3.7186 0.4004
9.857 0.785
6.4092 0.7553
7.1805 0.7466
5.8482 0.163
3.8969 0.6061
7.2109 0.3492
3.4336 0.6592
1.4437 0.8471
6.1152 0.3678
0.2429 0.9785
7.3823 0.8453
7.9198 0.5668
7.9426 0.5202
6.2711 0.7953
7.0144 0.5163
4.4221 0.3289
3.3781 0.2029
2.3404 0.4322
8.806 0.5509
4.1975 0.6897
8.9089 0.172
3.2618 0.7374
2.8053 0.9361
0.009 0.0492
8.4672 0.8621
4.8612 0.2283
9.2131 0.5854
4.958 0.7919
4.2117 0.5076
2.741 0.6038
8.6052 0.2483
5.9621 0.6733
1.2757 0.0404
9.4644 0.3357
1.6563 0.0235
4.287 0.9506
2.7268 0.7476
6.2265 0.8314
5.2083 0.5774
2.4067 0.2144
9.2552 0.9008
2.0614 0.653
9.9686 0.5939
4.7486 0.5461
2.4321 0.7231
7.8155 0.0597
2.4409 0.5372
6.9744 0.3853
7.6043 0.2412
6.7594 0.7762
1.5158 0.1177
6.3587 0.727
7.9318 0.7569
6.0539 0.1903
9.249 0.4827
5.3847 0.5166
2.7068 0.8491
9.209 0.3487
5.2667 0.8656
0.3968 0.0772
9.5378 0.2938
1.5617 0.3775
0.0351 0.9617
9.6585 0.3694
3.9995 0.3029
4.5121 0.519
5.5179 0.6592
7.949 0.1743
3.7154 0.7391
9.787 0.422
4.3389 0.9829
8.1746 0.7327
5.6697 0.6465
3.9691 0.8957
6.2616 0.8952
2.9328 0.1335
0.0384 0.555
1.2315 0.1834
6.9753 0.0248
1.5328 0.3103
1.1339 0.9738
3.7671 0.1271
0.1257 0.5687
8.5506 0.7738
6.565 0.855
7.4952 0.3904
4.2249 0.3168
4.404 0.4155
1.5853 0.7959
5.5796 0.7852
9.6595 0.0205
4.6991 0.1366
6.7528 0.9608
8.0768 0.8829
8.8875 0.1943
1.0336 0.9084
4.134 0.707
4.9484 0.0967
8.5886 0.495
7.3351 0.5919
5.2301 0.6854
5.4732 0.9548
4.5827 0.4576
3.7386 0.4681
6.9046 0.5468
3.0369 0.4528
5.1233 0.4409
1.4059 0.177
0.3887 0.7887
1.6397 0.6784
1.1316 0.3442
6.9475 0.5801
2.2436 0.2369
6.9121 0.7785
5.3501 0.3286
6.4614 0.9302
2.2827 0.1054
5.5862 0.903
7.4996 0.4891
7.3413 0.0083
2.4263 0.1656
6.7988 0.2567
2.3925 0.8669
2.1253 0.9286
2.6048 0.5736
3.879 0.94
5.5847 0.7312
2.4906 0.4937
3.1835 0.6646
5.6377 0.4606
6.2787 0.911
3.3163 0.7655
5.9272 0.7874
0.4822 0.3036
7.7814 0.5986
4.0611 0.226
2.4823 0.2672
6.3547 0.3256
3.9114 0.7655
1.6912 0.2462
2.0806 0.784
7.9789 0.0202
8.8941 0.7992
0.4716 0.2761
5.8358 0.6478
7.4927 0.8061
7.3014 0.6715
9.5819 0.5381
1.5473 0.6066
9.8185 0.4134
3.1844 0.2563
9.79 0.4048
7.8046 0.2839
5.9679 0.5477
6.3678 0.4117
8.2199 0.9048
8.3981 0.8421
6.0574 0.0723
7.3803 0.8142
3.7048 0.2233
3.0859 0.646
4.3209 0.2004
0.7619 0.6969
1.0366 0.7122
3.7628 0.7924
1.8775 0.3402
0.1329 0.0959
6.1801 0.4285
6.6895 0.2284
3.7198 0.2649
4.7018 0.1642
6.4611 0.7527
3.0041 0.2496
1.7022 0.793
8.4965 0.4015
5.619 0.6412
4.2891 0.1188
4.8747 0.1294
6.6839 0.1492
2.9789 0.9542
6.7941 0.6981
1.7354 0.0762
3.9259 0.938
3.6023 0.1305
5.4859 0.4235
4.1847 0.2147
3.9361 0.4486
4.1383 0.3533
9.883 0.5742
0.45 0.1063
3.578 0.38
0.7413 0.7259
4.6331 0.085
2.3473 0.8424
4.099 0.266
8.2582 0.2686
4.8345 0.4885
8.6919 0.9937
4.6952 0.0464
8.4509 0.713
7.7114 0.1578
6.5251 0.5365
6.1708 0.9073
3.5521 0.3497
6.2343 0.4086
8.4297 0.05
8.8458 0.6496
2.5427 0.2549
3.3726 0.1646
6.3598 0.4708
1.4532 0.2847
1.5802 0.1925
1.4799 0.7025
8.1324 0.1614
0.6725 0.9491
7.5698 0.2449
4.783 0.5145
6.6318 0.2025
3.4695 0.3762
6.989 0.6159
9.597 0.1746
9.7721 0.3699
8.3087 0.2325
2.1531 0.4257
5.6144 0.6346
5.3836 0.3748
5.8905 0.6734
2.829 0.1241
5.4514 0.2476
2.5167 0.43
7.2037 0.0519
3.5844 0.8025
7.3751 0.6365
5.4586 0.6767
8.0617 0.745
6.1975 0.5457
4.9123 0.7284
4.1729 0.8013
4.0261 0.1387
5.8198 0.533
8.9314 0.3196
0.3974 0.2245
3.4285 0.0894
2.81 0.9114
4.7384 0.8534
0.6088 0.8707
9.6283 0.9077
0.3447 0.5499
3.3809 0.7729
9.8891 0.1202
6.5969 0.1446
7.977 0.8882
8.7956 0.0716
7.9105 0.848
9.3231 0.8353
4.0592 0.8743
5.5942 0.6657
4.9546 0.9312
5.7385 0.4289
7.0237 0.5232
1.8796 0.2733
8.5888 0.719
1.0004 0.8566
9.1326 0.7137
7.8237 0.6612
8.3508 0.32
1.6491 0.2246
1.4133 0.6651
0.154 0.3424
4.4072 0.5697
2.1352 0.9009
4.3781 0.3134
7.8003 0.2949
4.3263 0.5712
3.5123 0.8464
7.3998 0.8775
9.2738 0.9965
6.4193 0.0184
1.4048 0.0428
1.8742 0.6176
0.6946 0.1982
6.7202 0.7003
5.0117 0.2565
2.6329 0.4425
8.8979 0.6567
0.9853 0.7044
2.5963 0.8329
5.2739 0.1475
4.7362 0.0922
7.829 0.0997
6.4044 0.2062
6.2242 0.0129
6.5978 0.1004
5.2727 0.5255
3.3559 0.2819
5.8955 0.6304
1.6239 0.8606
7.998 0.4111
8.9753 0.3842
9.2806 0.2025
8.598 0.6778
6.5221 0.3661
0.5435 0.2791
9.1709 0.7684
0.3385 0.2802
9.333 0.2063
9.4965 0.9863
7.9005 0.9947
5.0024 0.4942
2.1205 0.5019
0.2091 0.0392
9.3643 0.5151
1.0352 0.1623
5.88 0.826
4.3637 0.1591
6.0065 0.5307
5.0919 0.2249
5.257 0.0584
7.5575 0.5383
9.7972 0.423
0.759 0.3148
0.7785 0.3752
4.1182 0.5757
0.8627 0.9521
2.8143 0.0048
5.1977 0.3765
8.5853 0.1477
6.8637 0.5944
8.8156 0.9548
1.6855 0.8512
3.5311 0.1529
5.6458 0.9068
5.82 0.8718
9.7197 0.4251
5.4071 0.3803
3.254 0.0247
7.0728 0.0532
1.1105 0.6523
0.9962 0.5312
0.2795 0.0014
2.2805 0.6263
0.2143 0.0228
8.4288 0.2469
2.5176 0.4639
1.9363 0.0337
6.0791 0.9194
6.0844 0.4361
7.5615 0.3629
6.9312 0.762
6.7078 0.8318
8.3212 0.2762
2.2328 0.9105
0.7514 0.2386
7.2026 0.0249
7.4659 0.2506
1.383 0.3299
5.4769 0.0167
0.1429 0.0454
9.3245 0.0348
0.5648 0.0125
3.8848 0.3363
7.364 0.4642
6.5231 0.5924
6.6354 0.4879
3.8011 0.0522
4.6 0.6254
5.4533 0.3101
6.5398 0.1494
2.9319 0.0368
8.6918 0.8093
4.3714 0.1509
1.2452 0.0417
3.6785 0.8742
4.4656 0.4216
7.8933 0.6274
5.4359 0.8727
5.9975 0.0428
0.6444 0.8664
8.6366 0.7549
6.3257 0.2836
9.6318 0.8503
3.3406 0.5384
8.0435 0.143
4.0849 0.5036
5.6215 0.5981
3.0354 0.3904
3.7978 0.4292
1.924 0.3698
6.2654 0.8358
5.7706 0.9059
2.3769 0.0488
1.4976 0.8856
0.7023 0.5146
0.6586 0.4528
3.7225 0.6298
1.3331 0.2887
8.8735 0.7631
8.7826 0.1922
0.9231 0.9792
7.5888 0.6359
0.5477 0.9842
9.4452 0.5224
3.7216 0.304
3.2582 0.935
2.7475 0.9479
4.0913 0.565
5.6489 0.8978
2.5514 0.6013
7.6331 0.4337
9.1934 0.7081
9.3961 0.9859
6.3644 0.3404
9.0236 0.8457
7.5692 0.9141
9.8924 0.948
2.3804 0.9029
1.3621 0.7197
5.9859 0.7553
5.3268 0.3938
0.3537 0.2466
5.4601 0.2866
2.1346 0.2485
0.6869 0.2523
3.9303 0.1638
9.2907 0.1817
5.1415 0.5417
9.893 0.5833
5.2979 0.5028
1.7118 0.8712
6.7751 0.0279
9.3175 0.12
2.9622 0.4851
5.064 0.1427
7.1706 0.2316
9.0774 0.072
9.9967 0.7292
5.2854 0.223
5.2797 0.8024
6.8106 0.231
4.0251 0.6327
6.4198 0.8199
2.9574 0.4771
1.6448 0.8654
9.5549 0.0834
2.4105 0.6639
5.7372 0.1343
2.9379 0.2722
4.6877 0.0728
7.9749 0.7001
1.2576 0.3946
0.4967 0.124
2.7641 0.603
1.4334 0.8065
1.4147 0.7072
7.5971 0.7753
9.2385 0.3224
4.1374 0.467
8.8294 0.1558
3.1373 0.1415
0.6305 0.5227
8.7591 0.6482
4.6311 0.4161
4.5827 0.0607
8.3269 0.0355
4.399 0.1909
3.8296 0.9911
5.3385 0.3847
9.3685 0.7778
8.9998 0.2017
7.6167 0.8836
8.6014 0.3074
6.3748 0.7959
5.0783 0.2403
2.8168 0.1714
0.308 0.4147
8.9166 0.4969
0.1872 0.5543
0.4026 0.3897
0.2111 0.874
5.3853 0.6897
1.9631 0.4625
5.5679 0.9513
2.5883 0.0113
1.4322 0.1638
4.2931 0.415
1.07 0.4884
4.9441 0.5908
0.0785 0.1449
2.4915 0.1296
3.6119 0.1983
2.6162 0.0362
6.348 0.4346
6.0228 0.5452
7.9083 0.9119
2.145 0.7498
0.396 0.4708
1.2107 0.5779
7.2131 0.2028
0.3064 0.6263
7.58 0.7545
9.062 0.8027
7.0106 0.9114
3.2378 0.1528
7.481 0.6366
9.483 0.1931
9.2593 0.4649
7.547 0.5997
9.8381 0.0108
6.2564 0.9547
0.4275 0.4379
6.395 0.2823
4.4209 0.0981
0.1177 0.7823
2.3025 0.114
4.5195 0.2539
0.16 0.7737
6.4784 0.7469
6.6833 0.7323
0.5092 0.2648
8.5153 0.2801
1.0523 0.751
1.7665 0.8279
6.1779 0.8945
5.5733 0.4511
5.2805 0.806
6.2682 0.9675
8.778 0.5614
8.4513 0.8232
9.2739 0.2924
3.1531 0.5886
0.2786 0.5962
7.966 0.6473
0.1216 0.0211
4.9334 0.5333
1.0658 0.4662
3.8161 0.5494
8.5585 0.1893
7.086 0.7106
3.7942 0.3716
4.0376 0.3037
3.2432 0.7459
1.5494 0.4637
2.7626 0.6859
9.2722 0.4571
2.6007 0.3912
2.7475 0.4823
5.1406 0.6768
3.0046 0.6248
2.8545 0.1427
6.7337 0.0917
2.0554 0.6243
7.6447 0.251
8.2126 0.3986
9.6828 0.1318
2.2685 0.964
7.0461 0.8162
6.7403 0.9661
2.9466 0.487
9.932 0.3925
6.8507 0.6486
5.3915 0.6566
9.4692 0.2042
5.4824 0.2863
9.7324 0.8634
5.2784 0.492
9.2028 0.9459
1.249 0.2894
5.581 0.6001
3.2341 0.7972
4.7435 0.24
0.9935 0.6857
5.4447 0.9778
3.5867 0.3981
1.8981 0.1222
8.4803 0.4547
6.6277 0.6417
5.9715 0.0214
7.8679 0.2436
1.2592 0.5646
0.6861 0.7652
2.0716 0.216
8.697 0.3286
1.4755 0.9005
0.0284 0.8584
1.4469 0.13
2.5065 0.1745
6.6106 0.0258
0.1486 0.79
2.3793 0.3238
1.7425 0.0524
7.4172 0.5261
7.4567 0.4762
7.7802 0.5132
1.0905 0.5038
9.4542 0.0434
7.8323 0.867
5.2145 0.458
9.6403 0.0608
4.7898 0.4016
6.861 0.4903
9.097 0.0735
0.8079 0.6083
0.6568 0.275
6.3308 0.5484
3.2519 0.9946
5.3056 0.4537
6.0543 0.0992
7.0178 0.8528
6.5092 0.769
7.2084 0.215
4.5155 0.2285
3.3893 0.4535
4.1599 0.0951
4.2676 0.6651
3.743 0.1526
9.2299 0.0671
8.3177 0.0932
0.9656 0.7388
8.1177 0.5564
5.8647 0.5616
3.2965 0.1222
3.536 0.6653
7.5028 0.8681
7.2106 0.9684
6.0041 0.3516
5.7792 0.2127
6.5674 0.2242
1.0822 0.8454
3.6756 0.7626
5.741 0.8072
8.4516 0.9745
8.1843 0.6136
6.427 0.0263
9.2908 0.8295
2.6745 0.1804
7.027 0.309
3.3982 0.0061
8.6986 0.5663
4.0078 0.1419
6.3317 0.0307
7.4611 0.2151
4.1983 0.3409
3.7005 0.7216
7.7684 0.5676
0.8496 0.0526
1.5741 0.6178
6.7397 0.2721
6.6194 0.4857
4.4204 0.2732
7.5494 0.1138
